Time,Year,PI_Name,Title
100.0,1999,BROWN,CORONAL SPECTROSCOPY OF THE F0 SUPERGIANT CANOPUS: PROPERTIES OFINTERMEDIATE MASS STAR CORONAE AFTER THE HE FLASH
100.0,1999,GAGNE,ACIS IMAGING SPECTROSCOPY OF THE RHO OPHIUCHUS A CLOUD
80.0,1999,COHEN,ARE B STAR X-RAY SOURCES WIND-CORONAL HYBRIDS?
125.0,1999,CASSINELLI,HIGH-RESOLUTION SPECTRAL DIAGNOSTICS OF O-STAR X-RAY SOURCES
92.0,1999,LINSKY,COORDINATED AXAF AND HST SPECTROSCOPY OF FLARES ON PROXIMACENTAURI
50.0,1999,FEIGELSON,ACIS STUDY OF THE PERSEUS STAR FORMING CLOUD
80.0,1999,PREDEHL,OBSERVATIONS WITH LETGS OF THE ECLIPSING BINARY ALGOL
73.0,1999,CANIZARES,STELLAR CORONAL SPECTROSCOPY OF STAR-FORMING REGIONS: ORION
201.0,1999,CANIZARES,STELLAR CORONAL SPECTROSCOPY OF COOL STARS
60.0,1999,LINSKY,DEEP ACIS IMAGING OF THE CORE OF THE PLEAIDES CLUSTER
145.0,1999,LINSKY,AXAF GRATING SPECTROSCOPY OF ACTIVE BINARIES
120.0,1999,LINSKY,AXAF GRATING SPECTROSCOPY OF ACTIVE SINGLE STARS
13.74,1999,GARMIRE,YOUNG STARS IN THE ORION TRAPEZIUM CLUSTER
20.0,1999,GARMIRE,X-RAYS FROM THE YOUNGEST STARS IN THE CORONA AUSTRALIS CLOUD
22.0,1999,GARMIRE,YOUNG STARS AND OUTFLOWS IN LYNDS 1641
30.0,1999,GARMIRE,ACIS OBSERVATION OF 30 DORADUS
40.0,1999,MURRAY,EMISSION FROM LATE-TYPE STARS
25.0,1999,MURRAY,EMISSION FROM EARLY-TYPE STARS
218.0,1999,MURRAY,STAR FORMING REGIONS AND YOUNG CLUSTERS
58.0,1999,PREDEHL,OBSERVATIONS OF STELLAR CORONAE WITH LETGS
80.0,1999,BRINKMAN,OBSERVATIONS OF STELLAR CORONAE WITH LETGS
25.0,1999,MURRAY,HIGH RESOLUTION SPECTROSCOPY OF WHITE DWARFS
40.0,1999,TEESELING,THE NATURE OF THE SUPERSOFT X-RAY SOURCE RXJ0439.8-6809
60.0,1999,HARTMANN,ESTABLISHING THE TRUE NATURE OF RX J0925.7-4758 WITH AXAF
24.0,1999,REINSCH,THE TEMPERATURE STRUCTURE IN THE ACCRETION REGION OF AM HERCULIS
50.0,1999,WHEATLEY,HIGH-RESOLUTION X-RAY SPECTROSCOPY OF SS CYGNI IN QUIESCENCE
100.0,1999,SZKODY,A STUDY OF THE CLASSIC BOUNDARY LAYER IN U GEM AT QUIESCENCE
100.0,1999,MAUCHE,BROAD-BAND HIGH RESOLUTION SPECTROSCOPY OF SS CYGNI IN OUTBURST
50.0,1999,MUKAI,HETG SPECTROSCOPY OF BRIGHT INTERMEDAITE POLARS
100.0,1999,BALMAN,STUDYING THE OLD NOVA SHELL OF GK PERSEI IN X-RAYS
26.0,1999,KELLOGG,THE X-RAY SPATIAL AND SPECTRAL STRUCTURE OF R AQUARII
100.0,1999,STARRFIELD,MULTIWAVELENGTH TOO OBSERVATIONS OF BRIGHT NOVAE IN OUTBURST
25.0,1999,COOL,X-RAY CONSTRAINTS ON THE BINARY STAR POPULATIONS IN OMEGACENTAURI
50.0,1999,GRINDLAY,"X-RAYING COMPACT BINARIES IN THE EXTREME GLOBULAR CLUSTER,TERZAN 5"
50.0,1999,PREDEHL,OBSERVATIONS OF SUPER SOFT X-RAY SOURCES WITH LETGS
50.0,1999,PREDEHL,X-RAY SPECTROSCOPY OF THE SOFT INTERMEDIATE POLAR RE0751+14
50.0,1999,BRINKMAN,OBSERVATIONS OF SUPER SOFT X-RAY SOURCES WITH LETGS
74.0,1999,MURRAY,DIFFUSE X-RAY EMISSION IN GLOBULARS: HOT GAS VS. NON-THERMALEMISSION IN 47 TUC
49.0,1999,MURRAY,NATURE AND ORIGIN OF CATACLYSMIC VARIABLES AND DIM X-RAY SOURCESIN GLOBULAR CLUSTERS
143.2,1999,MURRAY,SUPER-SOFT X-RAY SOURCES
5.0,1999,STEFANO,BZ CAM - A TRANSIENT SUPERSOFT X-RAY SOURCE?
5.0,1999,STEFANO,BZ CAM - A TRANSIENT SUPERSOFT X-RAY SOURCE?
60.0,1999,HOWELL,CHANDRA HETG SPECTROSCOPY OF EX HYDRAE
20.0,1999,CHARLES,THE NATURE OF CLASSICAL SYMBIOTIC OUTBURSTS
150.0,1999,KUIPER,THE BINARY MS-PULSAR PSR J0218+4232 AND ITS PROBABLE SYNCHROTRONNEBULA
40.0,1999,BOROSON,SPECTRAL VARIABILITY IN A SUPERGIANT X-RAY BINARY
1760.7,1999,FENDER,AN X-RAY IMAGING SURVEY OF JETS FROM X-RAY BINARIES : ENERGETICSOF OUTFLOWS FROM NEUTRON STARS AND BLACK HOLES
30.0,1999,LEE,ACIS-HETG OBSERVATIONS OF GRS1915+105: A MICRO BAL-QUASAR ?
1775.7,1999,KLIS,THE FAINTEST 'FIELD' LOW-MASS X-RAY BINARIES
40.0,1999,KAHN,HIGH RESOLUTION SPECTROSCOPY OF THE ACCRETION DISK CORONA SOURCE4U 1822-37
35.1,1999,MARGON,"THE LUMINOUS BURSTING X-RAY SOURCES IN GLOBULAR CLUSTER CORES:LOCATION, LOCATION, AND LOCATION"
20.0,1999,WHITE,SOFT X-RAY DIAGNOSTICS OF A POSSIBLE ADC IN X2127+119
30.0,1999,MCCLINTOCK,BLACK HOLE EVENT HORIZONS AND ADVECTION-DOMINATED ACCRETION
30.0,1999,LEWIN,AXAF OBSERVATIONS OF THE RAPID BURSTER IN OUTBURST
15.6,1999,LEWIN,AXAF OBSERVATIONS OF A BRIGHT BLACK HOLE X-RAY BINARY INOUTBURST
80.0,1999,SWANK,HETGS STUDY OF PERSISTENT AND BURST EMISSION FROM TWO LUMINOUSBURSTERS
60.0,1999,ANGELINI,RESOLVING LOW ENERGY LINES FROM LMXRB
45.0,1999,VRTILEK,HIGH RESOLUTION X-RAY SPECTROSCOPY OF COMPACT BINARIES
40.0,1999,LIEDAHL,HIGH RESOLUTION SPECTROSCOPY OF THE STELLAR WIND IN CENTAURUSX-3
45.0,1999,BRANDT,HETG ZERO PHASE SPECTROSCOPY OF CIRCINUS X-1
40.0,1999,LIEDAHL,THE PHYSICS OF X-RAY LINE EMISSION IN THE MICROQUASAR GROJ1655-40
42.0,1999,BILDSTEN,TEMPORAL EVOLUTION OF TRANSIENT TYPE I BURSTERS IN QUIESCENCE
10.0,1999,BILDSTEN,QUIESCENT EMISSION FROM TRANSIENT TYPE I X-RAY BURSTERS
9.0,1999,MARGON,THE LOCATION OF THE MOST INTENSE UNIDENTIFIED X-RAY SOURCE ONTHE CELESTIAL SPHERE
30.0,1999,LEVINE,AXAF GRATING SPECTRA AND PRECISE POSITIONS OF BRIGHTGALACTIC-CENTER X-RAY SOURCES
1.0,1999,HEINDL,IS GRS 1758-258 REALLY A MICROQUASAR?
8.8,1999,GRINDLAY,"BRIGHT LMXB GLOBULAR CLUSTER SURVEY: NATURE, MASSES AND CLUSTERDYNAMICS"
30.0,1999,PREDEHL,CHEMISTRY OF INTERSTELLAR DUST
64.0,1999,GARMIRE,ECLIPSING BINARY X-RAY HALOS AND INTERSTELLAR GRAIN PROPERTIES
1790.7,1999,GARMIRE,MEASURING BLACK HOLE SPIN
74.0,1999,MURRAY,BLACK HOLE EVENT HORIZONS
10.0,1999,MURRAY,SPECTRA AND MASS MEASURE FOR THE ULTRACOMPACT BINARY IN NGC 6624
43.0,1999,GARMIRE,BLACK HOLE EVENT HORIZONS
44.0,1999,BRINKMAN,"OBSERVATIONS OF ACTIVE, COMPACT, LOW-MASS X-RAY BINARIES WITHLETGS"
187.5,1999,CANIZARES,HETG OBSERVATIONS OF X-RAY BINARIES
52.0,1999,PREDEHL,SPECTROSCOPY OF THE SOFT COMPONENT OF THE X-RAY SPECTRUM OF HERX-1
7.0,1999,PREDEHL,X-RAY SCATTERING HALO
40.0,1999,MCCOLLOUGH,TOO OBSERVATION OF THE RELATIVISTIC JET SOURCE CYGNUS X-3
30.0,1999,MCCLINTOCK,CHANDRA ACIS/LETG OBSERVATIONS OF THE LEAST ABSORBED X-RAY NOVA:XTE J1118+48
15.0,1999,TOMSICK,OBSERVATIONS OF A BLACK HOLE CANDIDATE X-RAY TRANSIENT DURINGOUTBURST DECAY
45.0,1999,KOUVELIOTOU,A STUDY OF ANOMALOUS X-RAY PULSARS
50.0,1999,TSUNEMI,SPATIAL STRUCTURE OF THE SHRAPNEL INJECTED FROM THE SUPERNOVAEXPLOSION
50.0,1999,SLANE,GETTING TO THE HEART OF 3C 58
40.0,1999,SLANE,THE TORTOISE AND THE HARE: AN AXAF STUDY OF TWO COMPOSITESUPERNOVA REMNANTS
10.0,1999,HASINGER,RBS 1223 - A NEW ISOLATED NEUTRON STAR?
75.0,1999,LONG,SN1006 AND THE PHYSICS OF SHOCKS
77.0,1999,GRAHAM,"BLAST WAVE DYNAMICS, SUPERNOVA REMNANT ENVIRONMENTS, AND THEEVOLUTION OF THE CYGNUS LOOP"
50.0,1999,SWARTZ,"A STUDY OF THE OLD SUPERNOVAE SN1993J, SN1995N, AND SN1996CB"
70.0,1999,SLANE,AN AXAF STUDY OF THE NONTHERMAL EMISSION IN G347.5-0.5
60.0,1999,WANG,SNR 0538-69.1: THE SNR WITH THE FASTEST KNOWN PULSAR
10.0,1999,ROMANI,THE ENVIRONMENT AND X-RAY COUNTERPART OF 2EG J1811-2339
10.0,1999,LEAHY,"AXAF IMAGING AND SPECTROSCOPY OF THE SOUTHWEST ""V"" REGION OF THECYGNUS LOOP"
70.0,1999,PAVLOV,THE MILLISECOND PULSAR PSR J0437-4715: MAGNETOSPHERE ORATMOSPHERE?
80.0,1999,PLUCINSKY,POSSIBLE EXPLOSION FRAGMENTS IN THE VELA SUPERNOVA REMNANT
36.0,1999,KULKARNI,IS THE NERABY ISOLATED NEUTRON STAR RXJ 0720.4-3125 A MAGNETAR?
38.0,1999,VASISHT,THE SOFT GAMMA-RAY REPEATER SGR 1806-20
40.0,1999,KULKARNI,THE X-RAY COUNTERPART OF 5 MARCH 1979
40.0,1999,HELFAND,G29.7-0.3: A SUPERNOVA REMNANT LIKE IT OTTA BE
1285.4,1999,PAVLOV,RADIO-SILENT NEUTRON STARS IN SUPERNOVA REMNANTS
40.0,1999,PAVLOV,SPECTROSCOPY AND TIMING OF THE MIDDLE-AGED PULSAR 1055-52
20.0,1999,KASPI,"AXAF OBSERVATIONS OF THE ""DUCK"" PULSAR PSR B1757-24"
20.0,1999,KASPI,"AXAF OBSERVATIONS OF THE YOUNG, ENERGETIC RADIO PULSAR PSRB1509-58"
50.0,1999,CORDES,BOW SHOCK NEBULAE FROM HIGH VELOCITY NEUTRON STARS
65.0,1999,FINLEY,"TEMPORAL, SPECTRAL, AND SPATIAL CHARACTERIZATION OF PSR B1706-44"
150.0,1999,WEISSKOPF,AXAF OBSERVATIONS OF THE CRAB NEBULA AND PULSAR AND SPECTROSCOPYOF THE INTERSTELLAR MEDIUM
10.0,1999,KEOHANE,RESOLVING THE QUESTION OF IC443'S HARD EMISSION
215.0,1999,LEWIN,PROMPT AXAF OBSERVATIONS OF NEARBY SUPERNOVAE
10.2,1999,HESTER,ACIS/HST OBSERVATIONS OF RELATIVISTIC WISPS IN THE CRAB NEBULA
100.0,1999,KAHN,HIGH RESOLUTION LINE SPECTROSCOPY OF THREE YOUNG SUPERNOVAREMNANTS IN THE LARGE MAGELLANIC CLOUD
130.0,1999,HUGHES,A SYSTEMATIC STUDY OF LMC SNRS WITH AXAF
40.0,1999,HUGHES,AXAF TOO OBSERVATIONS OF TYPE IA SUPERNOVAE
35.0,1999,KASPI,THE HISTORIC SUPERNOVA REMNANT SYSTEM - G11.2-0.3
50.0,1999,PREDEHL,SOFT X-RAY SPECTRUM OF THE OLD NEUTRON STAR RXJ1856.5-3754
50.0,1999,HOLT,ACIS OBSERVATION OF CAS A
100.0,1999,HOLT,ACIS OBSERVATIONS OF TYCHO AND KEPLER
55.0,1999,HOLT,ACIS OBSERVATION OF W49B
70.0,1999,HOLT,ACIS OBSERVATIONS OF EJECTA DOMINATED MAGELLANIC CLOUD SNR'S
240.0,1999,CANIZARES,HIGH RESOLUTION SPECTRA OF EXTRAGALACTIC SUPERNOVA REMNANTS
10.0,1999,GARMIRE,MONITORING OF SN 1987A
40.0,1999,GARMIRE,THE SUPERNOVA REMNANT AND NEUTRON STAR RCW 103
110.0,1999,GARMIRE,HIGH RESOLUTION SPECTROSCOPY OF SN 1987A
549.0,1999,GARMIRE,ACIS STUDY OF THE LMC SUPERNOVA REMNANT N103B
332.0,1999,GARMIRE,G292.0+1.8: A REMARKABLE OXYGEN-RICH SUPERNOVA REMNANT
60.0,1999,GARMIRE,THE VELA PULSAR
58.0,1999,MURRAY,SEARCH FOR PULSARS
80.0,1999,CANIZARES,HETG OBSERVATIONS OF ISOLATED PULSARS
100.0,1999,HELFAND,SURVEYING THE AFTERMATH OF A STARQUAKE
100.0,1999,MARTIN,THE COMPOSITION OF THE NEAREST STARBURST-DRIVEN GALACTIC WIND
70.0,1999,SARAZIN,RESOLVING THE MYSTERY OF X-RAY FAINT ELLIPTICAL GALAXIES
40.0,1999,SARAZIN,STELLAR MASS LOSS VERSUS EXTERNAL ACCRETION IN X-RAY BRIGHTELLIPTICALS
110.0,1999,MCDOWELL,THE X-RAY SOURCE POPULATION OF M33
30.0,1999,TRINCHIERI,THE NATURE OF PECULIAR GAS FILAMENTS IN EARLY TYPE GALAXIES
20.0,1999,TRINCHIERI,RESOLVING THE X-RAY EMISSION IN STEPHAN'S QUINTET
60.0,1999,HECKMAN,STARBURSTS AND THE `POLLUTION' OF THE IGM: AXAF OBSERVATIONS OFTHE SUPERWIND FROM NGC 253
50.0,1999,III,ELLIPTICALS WITH VERY DISCREPANT GASEOUS & STELLAR ABUNDANCES
10.0,1999,WALTER,PROPOSAL TO STUDY THE HOT GAS INTERIOR OF A SUPERGIANT SHELL INTHE NEARBY DWARF GALAXY IC 2574
50.0,1999,RIEKE,X-RAYS FROM NEARBY STARBURST GALAXIES
57.0,1999,BREGMAN,GALACTIC FOUNTAINS AND SUPERNOVAE IN NGC 891
40.0,1999,IRWIN,THE IMPORTANCE OF LOW MASS X-RAY BINARIES TO THE X-RAY EMISSIONFROM SA GALAXY BULGES
60.0,1999,THUAN,THE X-RAY EMISSION OF THE NEARLY PRIMORDIAL BLUE COMPACT DWARFGALAXY SBS 0335-052
60.0,1999,WANG,HOT GASEOUS HALO OF THE EDGE-ON GALAXY NGC 4631
20.0,1999,GOUDFROOIJ,THE INTERPLAY BETWEEN THE DIFFERENT COMPONENTS OF THEINTERSTELLAR MEDIUM OF ELLIPTICAL GALAXIES
30.0,1999,JONES,"HOT AND COLD GAS, DARK MATTER, AND HEAVY ELEMENTS IN ELLIPTICALGALAXIES"
50.0,1999,ALMAINI,FIRST OBSERVATIONS OF A LYMAN BREAK GALAXY AT X-RAY WAVELENGTHS
32.0,1999,ZABLUDOFF,THE EVOLUTION OF ISOLATED ELLIPTICAL GALAXIES
30.0,1999,FINOGUENOV,ACIS STUDY OF ABUNDANCE DISTRIBUTION IN ES
40.0,1999,SANDERS,DIFFUSE X-RAY EMISSION FROM NEARBY SPIRAL GALAXIES
40.0,1999,BOMANS,DIFFUSE HOT GAS IN THE EXTREMELY METAL-POOR GALAXY I ZW 18
113.0,1999,CANIZARES,THE DETAILED X-RAY SPECTRA OF ELLIPTICAL GALAXIES
50.0,1999,GARMIRE,ACIS IMAGING OF SGR A* AND THE GALACTIC CENTER
63.65,1999,MURRAY,MONITORING M31
69.02,1999,MURRAY,M31 MONITORING (FOLLOWUP)
74.0,1999,MURRAY,THE ANTENNAE
74.0,1999,MURRAY,NGC5128: BINARY SOURCES IN THE NEAREST ELLIPTICAL GALAXY
58.0,1999,MURRAY,EARLY TYPE GALAXIES
322.28,1999,MUSHOTZKY,BRIGHT ELLIPTICAL GALAXIES AND HIGH REDSHIFT CLUSTERS
60.0,1999,EVANS,THE CENTAURUS A FILAMENTS: PROBING A JET/ISM INTERACTION
85.0,1999,ERACLEOUS,IN SEARCH OF THE CENTRAL ENGINES OF LINERS
50.0,1999,XIA,ACIS-I OBSERVATIONS OF THE MOST X-RAY LUMINOUS DWARF SEYFERTGALAXY MRK 273X
150.0,1999,CECIL,MAPPING HIGH-VELOCITY SHOCKS ALONG THE JETS OF NGC 4258
80.0,1999,TURNER,THE XUV SPECTRUM OF SEYFERT 1 GALAXIES
80.0,1999,NANDRA,PROBING RELATIVISTIC OUTFLOWS IN EXTREME NLS1
37.6,1999,GREEN,LIFTING THE SHROUD AROUND BROAD ABSORPTION LINE QSOS: AN AXAFSURVEY
60.0,1999,MINESHIGE,AN X-RAY MICROLENSING TEST OF THE AU-SCALE CENTRAL STRUCTURE OFTHE QUADRUPLE QUASAR 2237+0305 (EINSTEIN CROSS)
20.0,1999,BRUNETTI,THE X-RAY COMPLEX STRUCTURE OF THE POWERFUL RADIOGALAXY 3C 219
50.0,1999,HARDCASTLE,X-RAY EMISSION FROM THE OPTICAL JET OF THE RADIO GALAXY 3C 66B:TESTING THEORIES OF PARTICLE ACCELERATION
50.0,1999,HARDCASTLE,THE MAGNETIC FIELD STRENGTH IN THE RADIO HOT SPOT OF 3C 123:SYNCHROTRON SELF-COMPTON EMISSION AND EQUIPARTITION
425.3,1999,OTTERBEIN,AN X-RAY SIGNATURE OF THE RADIO JET OF 3C 390.3
50.0,1999,NETZER,EMISSION-LINE SPECTROSCOPY OF NGC 3516
40.0,1999,HAMANN,RECONCILING UV AND X-RAY OBSERVATIONS OF BALQSO WINDS
50.0,1999,HAMANN,"THE ULTRA-HIGH VELOCITY (-56,000 KM/S) ABSORBER IN THE QSOPG2302+029"
35.0,1999,BIRKINSHAW,SOLVING THE PROBLEM OF THE CORE STRUCTURES AND SPECTRA OF NEARBYRADIO GALAXIES NGC 6251 AND NGC 4261
50.0,1999,WARD,UNDERSTANDING THE AGN/STARBURST CONNECTION AT HIGH LUMINOSITIES
80.0,1999,YAQOOB,"TIME RESOLVED SPECTROSCOPY, HIGH SENSITIVITY POWER SPECTRUM \& ASEARCH FOR THE X-RAY QPO IN NGC 5548"
255.1,1999,WORRALL,EXTENDED AND COMPACT X-RAY EMISSION IN DISTANT RADIO GALAXIES
31.59,1999,PESCE,THE X-RAY CLUSTER ENVIRONMENT OF BLAZARS
10.0,1999,BIRKINSHAW,STRUCTURES AND SPECTRA OF HOT GAS AROUND NEARBY BL LAC OBJECTS
40.0,1999,KERP,THE X-RAY JET AND HALO OF NGC 6251
15.0,1999,LAURENT-MUEHLEISEN,DO BL LAC OBJECTS WEAR X-RAY HALOS?
25.0,1999,BROTHERTON,X-RAYS FROM RADIO-LOUD BROAD ABSORPTION LINE QSOS
26.0,1999,WORRALL,HUNTING THE AGN CORES IN FR1 RADIO GALAXIES
80.0,1999,BRANDT,AXAF GRATING SPECTROSCOPY OF THE BRIGHT AND COMPLEX SEYFERT 1GALAXY NGC 4051
50.0,1999,GEORGE,SPECTROSCOPY OF THE IONIZED GAS IN NGC 3227
80.0,1999,GREEN,WIDE SEPARATION QUASARS: PAIRS OR LENSES?
100.0,1999,LEIGHLY,HETG OBSERVATIONS OF EXTREME NARROW-LINE SEYFERT 1 GALAXIES
50.0,1999,LEIGHLY,HETG OBSERVATION OF AN UNUSUAL SPECTRAL FEATURE IN THENARROW-LINE SEYFERT 1 GALAXY ARK 564
50.0,1999,MADEJSKI,X-RAY OBSERVATIONS OF THE MEGAMASER SEYFERT 2 GALAXY NGC 4945
38.0,1999,BECHTOLD,X-RAY ABSORPTION IN MODERATE REDSHIFT DAMPED LYMAN ALPHAGALAXIES
20.0,1999,FIORE,IMAGING OF 2 NARROW LINE TYPE 1 AGN
60.0,1999,CLEMENTS,AXAF INVESTIGATION OF THE ARCHETYPAL ULIRG: ARP 220
50.0,1999,LIRA,X-RAY OBSERVATION OF THE NEAREST LINERS AND SEYFERT GALAXIES
100.0,1999,KAHN,THE SOFT X-RAY EMISSION LINE SPECTRUM OF MARKARIAN 3
75.0,1999,COPPI,A STUDY OF THE EXTENDED EMISSION AROUND BRIGHT BLAZAR AGN'S
20.0,1999,BECHTOLD,SURVEY OF RADIO QUIET $Z>4$ QUASARS
20.0,1999,FILIPPENKO,TESTING THE AGN PRARDIGM IN THE MICRO-QUASAR NGC 4395
50.0,1999,WEAVER,INVESTIGATING THE X-RAY PROPERTIES OF AN AGN-DRIVEN OUTFLOW INNGC 2110
60.0,1999,TURNSHEK,THE METAL ABUNDANCES IN LOW-REDSHIFT DAMPED LY-ALPHA GALAXIES
75.0,1999,EDELSON,LETG SPECTROSCOPY OF THE MKN 478: THE BRIGHTEST NARROW-LINESEYFERT 1 IN THE SOFT X-RAY SKY
150.0,1999,ALMAINI,THE HIDDEN UNIVERSE - AXAF OBSERVATIONS OF A DEEP INFRAREDSURVEY
10.0,1999,PREDEHL,A PRECISE MEASUREMENT OF THE POSITION OF THE SOURCE OF GIANT ANDRAPID VARIABILITY IN THE NLS1 13224-3809
246.7,1999,BRINKMAN,OBSERVATIONS OF BRIGHT ACTIVE GALACTIC NUCLEI WITH LETGS
433.58,1999,CANIZARES,HETG OBSERVATIONS OF VARIOUS ACTIVE GALACTIC NUCLEI
70.0,1999,WILSON,STUDIES OF RADIO JETS AND THE NARROW LINE REGIONS
335.5,1999,WILSON,STUDIES OF RADIO JETS AND THE NARROW LINE REGIONS
50.0,1999,GARMIRE,ACIS IMAGING OF THE STARBURST GALAXY M82
210.0,1999,GARMIRE,ACIS STUDY OF GRAVITATIONALLY LENSED QUASARS
130.0,1999,GARMIRE,ACIS GRATING SPECTROSCOPY OF SEYFERT GALAXIES
74.0,1999,MURRAY,HIGH REDSHIFT QUASAR SPECTRA
29.0,1999,MURRAY,EXTENDED EMISSION AROUND A GIGAHERTZ PEAKED RADIO SOURCE
15.0,1999,MURRAY,THE ORIGIN OF HARD X-RAYS FROM M82
66.61,1999,GARMIRE,LOW-LUMINOSITY ACTIVE GALACTIC NUCLEI IN NEARBY GALAXIES
120.0,1999,GARMIRE,A SURVEY OF GRAVITATIONALLY LENSED QUASARS
125.0,1999,FABIAN,HETG OBSERVATIONS OF VARIOUS ACTIVE GALACTIC NUCLEI
30.0,1999,MURRAY,OBSCURED QUASARS AND AGN
20.0,1999,MURRAY,EXTENDED X-RAY EMISSION AROUND NEARBY SEYFERTS
39.0,1999,MURRAY,STUDIES OF STARBURST GALAXIES
40.0,1999,FRUSCIONE,X-RAYING THE BRIGHTEST AGN IN THE SKY WITH THE CHANDRA GRATINGS
50.0,1999,FUSCO-FEMIANO,SEARCH FOR RECENT MERGER EVENTS IN GALAXY CLUSTERS SHOWING ARADIO HALO
37.0,1999,SARAZIN,THE INTERACTION BETWEEN CLUSTER CENTRAL RADIO SOURCES ANDCOOLING FLOWS
20.0,1999,STOCKE,A2029: COOLING FLOW OR SHOCKED MERGER EVENT?
30.0,1999,ROSE,MERGING SUBSTRUCTURES IN NEARBY CLUSTERS OF GALAXIES
40.0,1999,DAVIS,AXAF OBSERVATIONS OF CLUSTERS WITH RADIO HALOS
90.0,1999,HOUCK,X-RAY STRUCTURE OF LENSING CLUSTERS
40.0,1999,REYNOLDS,RADIO-GALAXY/CLUSTER INTERACTION: ACIS OBSERVATIONS OF A4059
40.0,1999,CARILLI,AN X-RAY CLUSTER AT Z = 2.156
30.0,1999,HENRIKSEN,A3266: LABORATORY FOR THE STUDY OF CLUSTER MERGERS
60.0,1999,KAASTRA,IRON LINE SPECTROSCOPY OF CLUSTERS OF GALAXIES
80.0,1999,ARNAUD,"A521, A CLUSTER FORMING AT THE CROSSING OF TWO FILAMENTS?"
496.6,1999,DONAHUE,THE INTRACLUSTER MEDIUM OF A MASSIVE CLUSTER AT Z=0.5
40.0,1999,ALLEN,CLUSTER GRAVITATIONAL LENSES AND THE IMPACT OF COOLING FLOWS.
